"","ID","RecordID","SiteID","counts.cleaned"
"2270","DEEP2014718_W6","DEEP2014718","DEEP",0
"2271","DEEP2014719_W6","DEEP2014719","DEEP",0
"2272","DEEP2014818_W6","DEEP2014818","DEEP",0
"2273","BB722014816_W6","BB722014816","BB72",420
"2274","BB722014817_W6","BB722014817","BB72",14
"2275","PEDD2014816_W6","PEDD2014816","PEDD",0
"2276","PEDD2014817_W6","PEDD2014817","PEDD",0.333333333333333
"2277","CHEM2014815_W6","CHEM2014815","CHEM",222
"2278","CHEM2014818_W6","CHEM2014818","CHEM",182
"2279","BB042014815_W6","BB042014815","BB04",850
"2280","BB042014816_W6","BB042014816","BB04",200
"2281","BB042014817_W6","BB042014817","BB04",0
"2282","DEEP2014816_W6","DEEP2014816","DEEP",20
"2283","DEEP2014817_W6","DEEP2014817","DEEP",1
"2284","MAPL2014816_W6","MAPL2014816","MAPL",0
"2285","MAPL2014817_W6","MAPL2014817","MAPL",0
"2286","COBE2014719_W6","COBE2014719","COBE",0
"2287","COBE2014720_W6","COBE2014720","COBE",0
"2288","COBE2014721_W6","COBE2014721","COBE",0
"2289","COBE2014816_W6","COBE2014816","COBE",0
"2290","COBE2014817_W6","COBE2014817","COBE",0
"2291","COBE2014818_W6","COBE2014818","COBE",0
"2292","WITT2014719_W6","WITT2014719","WITT",1.13953488372093
"2293","WITT2014720_W6","WITT2014720","WITT",46.75
"2294","WITT2014816_W6","WITT2014816","WITT",9.5
"2295","WITT2014817_W6","WITT2014817","WITT",1.01612903225806
"2296","RBBP2014815_W6","RBBP2014815","RBBP",99.4475138121547
"2297","RBBP2014816_W6","RBBP2014816","RBBP",309.877326565144
"2298","SANM2014816_W6","SANM2014816","SANM",0
"2299","SANM2014817_W6","SANM2014817","SANM",0
"2300","FANY2014719_W6","FANY2014719","FANY",0
"2301","FANY2014720_W6","FANY2014720","FANY",0
"2302","EIDE2014718_W7","EIDE2014718","EIDE",0
"2303","ENBO2014719_W7","ENBO2014719","ENBO",0
"2304","SJEN2014719_W7","SJEN2014719","SJEN",0
"2305","SJEN2014720_W7","SJEN2014720","SJEN",0
"2306","COWC2014718_W7","COWC2014718","COWC",0
"2307","COWC2014719_W7","COWC2014719","COWC",0
"2308","COWC2014720_W7","COWC2014720","COWC",0
"2309","COWC2014721_W7","COWC2014721","COWC",0
"2310","EIDE2014720_W7","EIDE2014720","EIDE",0
"2311","BB722014719_W7","BB722014719","BB72",0
"2312","WHIF2014720_W7","WHIF2014720","WHIF",0
